launch_id	mission_id	mission_name	mission_type	mission_description	orbit_name	orbit_abbrev	program_name	lsp_name	lsp_type
e3df2ecd-c239-472f-95e4-2b89b4f75800	1430.0	Sputnik 1	Test Flight	First artificial satellite consisting of a 58 cm pressurized aluminium shell containing two 1 W transmitters for a total mass of 83.6 kg.	Low Earth Orbit	LEO		Soviet Space Program	Government
f8c9f344-a6df-4f30-873a-90fe3a7840b3	1431.0	Sputnik 2	Test Flight	Second artificial satellite and first to carry an animal into orbit.	Low Earth Orbit	LEO		Soviet Space Program	Government
535c1a09-97c8-4f96-bb64-6336d4bcb1fb	1432.0	Vanguard	Test Flight	Small satellite used to test the Vanguard three-stage launch vehicle.	Low Earth Orbit	LEO		US Navy	Government
1b9e28d0-c531-44b0-9b37-244e62a6d3f4	1433.0	Explorer 1	Test Flight	First successfully launched American satellite. It was the first spacecraft to detect the Van Allen Radiation Belt.	Low Earth Orbit	LEO		Army Ballistic Missile Agency	Government
48bc7deb-b2e1-46c2-ab63-0ce00fbd192b	1432.0	Vanguard	Test Flight	Small satellite used to test the Vanguard three-stage launch vehicle.	Low Earth Orbit	LEO		US Navy	Government
896e8af6-d256-4a5b-ab15-2f25c84e90e3	1434.0	Explorer 2	Test Flight	Small satellite similar to Explorer 1. It failed to reach orbit due to a fourth stage failure.	Low Earth Orbit	LEO		Army Ballistic Missile Agency	Government
74d39bb8-34a6-4a8b-8554-d2d3ec22aee6	1432.0	Vanguard	Test Flight	Small satellite used to test the Vanguard three-stage launch vehicle.	Low Earth Orbit	LEO		US Navy	Government
b4e501ff-083c-47d6-9ff0-63ec1bf035c3	1435.0	Explorer 3	Earth Science	Small satellite launched into an eccentric orbit with a cosmic ray counter and a micrometeorite detector.	Elliptical Orbit	Elliptical		Army Ballistic Missile Agency	Government
59d2de37-4c22-495f-8718-4b22f5f34ab7	1436.0	D-1 1	Earth Science	First complex scientific satellite with 12 experiments and a total mass of1327 kg. It failed to reach orbit due to a launch vehicle failure.	Low Earth Orbit	LEO		Soviet Space Program	Government
de282e74-e03b-411e-9633-2d1497629893	1432.0	Vanguard	Test Flight	Small satellite used to test the Vanguard three-stage launch vehicle.	Low Earth Orbit	LEO		US Navy	Government
6a7f56f9-2565-4b6c-b0c5-23e9c74a2368	1437.0	D1- 2	Earth Science	First complex scientific satellite to reach orbit.	Low Earth Orbit	LEO		Soviet Space Program	Government
a861fb4d-8988-468b-abd1-a6e8abe5f2c7	1432.0	Vanguard	Test Flight	Small satellite used to test the Vanguard three-stage launch vehicle.	Low Earth Orbit	LEO		US Navy	Government
57e64adf-5c20-4c81-b17a-587b44d574b0	1432.0	Vanguard	Test Flight	Small satellite used to test the Vanguard three-stage launch vehicle.	Low Earth Orbit	LEO		US Navy	Government
64da1836-0c00-4074-ab0a-f9d0ee6b1221	1438.0	NOTS 1	Government/Top Secret	The project pilot payloads were small cylindrical satellites. These missions intended to be the first to launch a satellite from an aircraft. They had only a single instrument, a very primitive infrared line scanning device to make IR images of the ground.	Low Earth Orbit	LEO		US Navy	Government
e0975cef-e8c6-4f35-bbf7-1b55963e06a5	1439.0	Explorer 4	Earth Science	An American satellite in order to study the Van Allen radiation belts and the effects of nuclear explosions upon these belts.	Medium Earth Orbit	MEO		Army Ballistic Missile Agency	Government
ac4c0c44-1925-4636-99b5-8c3b33d6c62a	1440.0	NOTS 2	Government/Top Secret	The project pilot payloads were small cylindrical satellites. These missions intended to be the first to launch a satellite from an aircraft. They had only a single instrument, a very primitive infrared line scanning device to make IR images of the ground.	Low Earth Orbit	LEO		US Navy	Government
5408eda7-a3cc-48d2-9a62-e77a3cf86bc1	1441.0	Able I (Pioneer)	Lunar Exploration	The first pioneer orbiter, pioneer 0 was a lunar orbiter intended to enter a lunar orbit for observation. However, the mission failed 77 seconds into launch.	Lunar Orbit	LO		Army Ballistic Missile Agency	Government
ee6958bf-155d-4400-9d9a-9d3e27c56d6d	1442.0	NOTS 3	Government/Top Secret	The project pilot payloads were small cylindrical satellites. These missions intended to be the first to launch a satellite from an aircraft. They had only a single instrument, a very primitive infrared line scanning device to make IR images of the ground.	Low Earth Orbit	LEO		US Navy	Government
a17719ee-5a39-452d-afc6-770d3c6deb1b	1443.0	Explorer 5	Earth Science	Explorer 5 was a US satellite designed to study the van allen radiation belts, however, the launch failed after the first stage collided with the second stage.	Medium Earth Orbit	MEO		Army Ballistic Missile Agency	Government
31bcb852-0c9f-4f1f-a201-a108c88e77f8	1444.0	NOTS 4	Government/Top Secret	The project pilot payloads were small cylindrical satellites. These missions intended to be the first to launch a satellite from an aircraft. They had only a single instrument, a very primitive infrared line scanning device to make IR images of the ground.	Low Earth Orbit	LEO		US Navy	Government
46580acb-1299-4a54-bdf0-884029a83a84	1445.0	NOTS 5	Government/Top Secret	The project pilot payloads were small cylindrical satellites. These missions intended to be the first to launch a satellite from an aircraft. They had only a single instrument, a very primitive infrared line scanning device to make IR images of the ground.	Low Earth Orbit	LEO		US Navy	Government
ba8f759d-5c34-4e63-bd32-29cb8e9905e6	1446.0	NOTS 6	Government/Top Secret	The project pilot payloads were small cylindrical satellites. These missions intended to be the first to launch a satellite from an aircraft. They had only a single instrument, a very primitive infrared line scanning device to make IR images of the ground.	Low Earth Orbit	LEO		US Navy	Government
b6141255-54e9-4edc-839d-1dc81b61f19f	1447.0	Luna-1a	Lunar Exploration	Luna E-1 number 1 was a Soviet spacecraft intended to impact the moon, however, was lost in a launch failure.	Lunar Impactor	Lunar Impactor	Luna	Soviet Space Program	Government
3aec8a7e-0884-4709-bdf6-c5f6444314a4	1448.0	Vanguard	Earth Science	Vanguard was an American satellite and the fourth artificial Earth orbital satellite to be launched. It was the first satellite to have solar electric power.	Medium Earth Orbit	MEO		US Navy	Government
a58b6abf-6b0e-492c-8bf3-1fa586f8d4da	1449.0	Pioneer 1	Lunar Exploration	The second pioneer orbiter, pioneer 1 intended to enter lunar orbit but missed the Moon after a third stage partial failure.	Lunar Orbit	LO		Army Ballistic Missile Agency	Government
b9dfc9fc-7c79-4c85-833e-037b3ee311aa	1450.0	Luna-1b	Lunar Exploration	Luna E-1 number 2 was a Soviet spacecraft intended to impact the moon, however, was lost in a launch failure.	Lunar Impactor	Lunar Impactor	Luna	Soviet Space Program	Government
